fiscal_year,fund,department,class_id,class,minor_class_id,minor_class,total
2015,General Operating Fund,Fire,3,Materials and Supplies,307,Chemicals and Gases,82500
2015,General Operating Fund,Fire,3,Materials and Supplies,308,Dry Goods/notions/wearing Apparel,3071300
2015,General Operating Fund,Fire,3,Materials and Supplies,309,Cordage and Fibers,5000
2015,General Operating Fund,Fire,3,Materials and Supplies,310,Electrical and Communication,94000
2015,General Operating Fund,Fire,3,Materials and Supplies,311,General Equipment and Machinery,500
2015,General Operating Fund,Fire,3,Materials and Supplies,312,Fire Fighting and Safety,800224
2015,General Operating Fund,Fire,3,Materials and Supplies,313,Food,1000
2015,General Operating Fund,Fire,3,Materials and Supplies,314,Fuel -- Heating and Lighting,74500
2015,General Operating Fund,Fire,3,Materials and Supplies,316,General Hardware and Minor Tools,32000
2015,General Operating Fund,Fire,3,Materials and Supplies,317,Hospital and Laboratory,1334489
2015,General Operating Fund,Fire,3,Materials and Supplies,318,"Janitorial, Laundry and Household",131000
2015,General Operating Fund,Fire,3,Materials and Supplies,320,Office Materials and Supplies,128701
2015,General Operating Fund,Fire,3,Materials and Supplies,322,Small Power Tools and Hand Tools,19800
2015,General Operating Fund,Fire,3,Materials and Supplies,324,"Precision, Photographic and Artists",77000
2015,General Operating Fund,Fire,3,Materials and Supplies,325,Printing,36000
2015,General Operating Fund,Fire,3,Materials and Supplies,345,Gasoline,400
2015,General Operating Fund,Fire,4,Equipment,410,Electrical Lighting Communication,32000
2015,General Operating Fund,Fire,4,Equipment,412,Fire Fighting and Emergency,4210000
2015,General Operating Fund,Fire,4,Equipment,417,Hospital and Laboratory,178000
2015,General Operating Fund,Fire,4,Equipment,420,Office Equipment,36000
2015,General Operating Fund,Fire,4,Equipment,423,Plumbing/air Conditioning/space Htg,7000
2015,General Operating Fund,Fire,4,Equipment,424,"Precision, Photographic and Artist",34000
2015,General Operating Fund,Fire,4,Equipment,430,Furniture and Furnishings,101000
2015,General Operating Fund,Fire,4,Equipment,499,Other Equipment (noc),61000
2015,General Operating Fund,Fire,8,Payments to Other Funds,803,Payments to Water Fund,8162000
2015,General Operating Fund,Health,1,Personal Services,100,Salary Control,316968
2015,General Operating Fund,Health,1,Personal Services,101,Perm Full Time-civilian,39035580
2015,General Operating Fund,Health,1,Personal Services,111,Perm Part Time,6880052
2015,General Operating Fund,Health,1,Personal Services,121,Temporary Seasonal,117000
2015,General Operating Fund,Health,1,Personal Services,161,Overtime Civilian,2069472
2015,General Operating Fund,Health,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",35395
2015,General Operating Fund,Health,1,Personal Services,181,Shift,38622
2015,General Operating Fund,Health,2,Purchase of Services,201,Cleaning and Laundering,1350
2015,General Operating Fund,Health,2,Purchase of Services,202,Janitorial Services,20500
2015,General Operating Fund,Health,2,Purchase of Services,205,Refuse/garbage/silt/sludge Removal,182851
2015,General Operating Fund,Health,2,Purchase of Services,209,Telephone,99648
2015,General Operating Fund,Health,2,Purchase of Services,210,Postage,9146
2015,General Operating Fund,Health,2,Purchase of Services,211,Transportation,51950
2015,General Operating Fund,Health,2,Purchase of Services,215,Licenses Permits Inspection Charges,26345
2015,General Operating Fund,Health,2,Purchase of Services,216,Commercial Off-shelf Comp Software,65308
2015,General Operating Fund,Health,2,Purchase of Services,230,Meals-non-travel & Officl Entertain,14775
2015,General Operating Fund,Health,2,Purchase of Services,240,Advertising/promotional Activities,1500
2015,General Operating Fund,Health,2,Purchase of Services,250,Professional Consult/spec Services,58770758
2015,General Operating Fund,Health,2,Purchase of Services,251,Information Technology-prof Service,817785
2015,General Operating Fund,Health,2,Purchase of Services,252,Accounting and Auditing Services,10000
2015,General Operating Fund,Health,2,Purchase of Services,255,Dues,5140
2015,General Operating Fund,Health,2,Purchase of Services,256,Seminar and Training Sessions,22553
2015,General Operating Fund,Health,2,Purchase of Services,257,Architectural & Engineering Srvcs,1528
2015,General Operating Fund,Health,2,Purchase of Services,260,Repair and Maintenance Charges,804154
2015,General Operating Fund,Health,2,Purchase of Services,266,Maint/support-computr Hardware/soft,18589
2015,General Operating Fund,Health,2,Purchase of Services,280,Insurance and Official Bonds,50
2015,General Operating Fund,Health,2,Purchase of Services,284,Ground and Building Rental,3876
2015,General Operating Fund,Health,2,Purchase of Services,285,Rents,33638
2015,General Operating Fund,Health,2,Purchase of Services,286,Rental of Parking Spaces,1520
2015,General Operating Fund,Health,2,Purchase of Services,299,Other Expenses (not Othrwse Clssfd),546
2015,General Operating Fund,Health,3,Materials and Supplies,304,Books and Other Publications,19594
2015,General Operating Fund,Health,3,Materials and Supplies,305,Building and Construction,31353
2015,General Operating Fund,Health,3,Materials and Supplies,307,Chemicals and Gases,276064
2015,General Operating Fund,Health,3,Materials and Supplies,308,Dry Goods/notions/wearing Apparel,21500
2015,General Operating Fund,Health,3,Materials and Supplies,310,Electrical and Communication,49634
2015,General Operating Fund,Health,3,Materials and Supplies,312,Fire Fighting and Safety,7662
2015,General Operating Fund,Health,3,Materials and Supplies,313,Food,1150
2015,General Operating Fund,Health,3,Materials and Supplies,314,Fuel -- Heating and Lighting,11900
2015,General Operating Fund,Health,3,Materials and Supplies,316,General Hardware and Minor Tools,49192
2015,General Operating Fund,Health,3,Materials and Supplies,317,Hospital and Laboratory,3886095
